_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
490,Our Lady of Perpetual Help C.S.,244,93.0,0.4,92.2,0.4,43.68729849,-79.38330488
491,Our Lady of Sorrows C.S.,577,90.5,2.4,92.5,2.4,43.64801452,-79.51832504
492,Our Lady of The Assumption C.S.,284,77.8,1.1,75.0,1.1,43.71618939,-79.431283
493,Our Lady of Victory C.S.,485,86.6,0.2,88.7,0.2,43.68332113,-79.49031478
494,Our Lady of Wisdom C.S.,236,88.1,3.8,91.1,3.8,43.76210878,-79.30818873
495,Owen P.S.,331,95.2,1.5,94.9,1.5,43.74905619,-79.3925162
496,Palmerston Avenue Jr P.S.,269,92.9,4.5,92.2,4.5,43.66814491,-79.41520495
497,Pape Avenue Jr P.S.,230,96.5,2.2,97.4,2.2,43.67035189,-79.34189362
498,Park Lane P.S.,47,55.3,0.0,74.5,0.0,43.72892362,-79.36682006
499,Park Lawn JMS,383,92.7,3.7,93.5,3.7,43.63770661,-79.49644692
500,Parkdale C.I.,493,84.8,1.4,95.7,1.4,43.63965751,-79.43606851
501,Parkdale Jr & Sr P.S.,334,87.1,3.3,86.2,3.3,43.64318729,-79.43679858
502,Parkfield Jr School,152,94.7,2.0,96.1,1.3,43.6820942,-79.56976738
503,Parkside Elementary,101,94.1,0.0,96.0,0.0,43.69985449,-79.31648307
504,Parkview Alternative,43,88.4,4.7,95.3,4.7,43.76737728,-79.31300261
505,Pauline Johnson Jr P.S.,167,92.8,0.6,93.4,0.6,43.78512986,-79.3035713
506,Pauline Jr P.S.,164,90.2,3.0,90.9,3.0,43.66248911,-79.43914367
507,Pelmo Park P.S.,166,91.6,3.0,90.4,3.0,43.71205673,-79.51811616
508,Percy Williams Jr P.S.,197,98.5,0.0,98.5,0.0,43.81266688,-79.26565853
509,Perth Avenue Jr P.S.,175,92.0,4.0,90.3,4.0,43.66283136,-79.45241969
510,Pierre Laporte Middle School,398,88.2,0.8,91.7,0.8,43.72507453,-79.49212431
511,Pineway P.S.,76,90.8,1.3,89.5,1.3,43.7957696,-79.37472553
512,Pleasant P.S.,272,95.2,3.3,93.0,3.3,43.79006404,-79.43461296
513,Pleasant View Middle School,313,93.9,1.3,93.6,1.3,43.78748776,-79.33390321
514,Pope Francis C.S.,184,89.1,0.0,91.3,0.0,43.65163137,-79.42101618
515,Poplar Road Jr P.S.,159,97.5,1.3,98.1,1.3,43.75366045,-79.18747895
516,Port Royal P.S.,243,95.5,0.8,96.3,0.8,43.8246324,-79.28996675
517,Portage Trail Community Jr School,480,91.9,2.9,92.3,2.9,43.69229618,-79.50976688
518,Precious Blood C.S.,327,85.6,0.9,87.5,0.9,43.73935643,-79.30223742
519,Presteign Heights Elementary,135,94.8,4.4,94.1,4.4,43.70554334,-79.31719398
520,Prince of Peace C.S.,230,90.9,0.9,93.0,0.9,43.82666428,-79.28015052
521,Princess Margaret Jr School,209,89.5,1.4,90.4,1.9,43.67130697,-79.55914240000001
522,Queen Alexandra Middle School,342,89.5,2.9,95.0,2.9,43.6611761,-79.35051827
523,Queen Victoria Jr P.S.,586,89.4,3.1,92.5,3.1,43.63625894,-79.43473265
524,Quest Alternative Sr,66,86.4,7.6,89.4,7.6,43.67046046,-79.35212966
525,R H King Academy,1229,87.2,0.7,98.0,0.6,43.72262234,-79.23745003
526,R H McGregor Elementary,409,96.3,1.2,96.1,1.2,43.68999526,-79.32713574
527,R J Lang EMS,323,89.8,1.5,90.1,1.5,43.78348538,-79.42651048
528,Ranchdale P.S.,124,96.0,0.0,96.8,0.0,43.752458000000004,-79.32329144
529,Rawlinson Community School,501,93.0,2.0,95.0,2.0,43.68397707,-79.44004342
530,Regal Road Jr P.S.,357,93.3,2.2,93.3,2.2,43.67377517,-79.44006329
531,Regent Heights P.S.,371,91.4,0.5,91.1,0.5,43.70708131,-79.2889046
532,Regina Mundi C.S.,280,88.2,1.1,91.4,1.1,43.7098151,-79.45958643
533,Rene Gordon Health & Wellness Academy,161,95.0,1.2,94.4,1.2,43.7616437,-79.34038149999999
534,Richview C.I.,1035,84.8,2.6,96.8,2.6,43.67886863,-79.53891237
535,Rippleton P.S.,161,97.5,1.2,96.9,1.2,43.74090484,-79.36012047
536,Rivercrest Jr School,118,94.1,2.5,91.5,2.5,43.72971618,-79.56951774
537,Riverdale C.I.,1198,87.1,2.9,96.3,2.8,43.6700477,-79.33485982
538,Robert Service Sr P.S.,166,88.0,0.0,97.6,0.0,43.72902515,-79.25117818
539,Rockcliffe Middle School,296,88.9,2.4,95.3,2.4,43.67401618,-79.48843523
540,Rockford P.S.,430,93.7,1.6,94.2,1.6,43.78622535,-79.45230102
541,Roden P.S.,284,90.1,2.1,94.4,2.1,43.67387327,-79.32307649
542,Rolph Road Elementary,235,97.4,1.7,97.4,1.7,43.69978359,-79.36625140000001
543,Rose Avenue Jr P.S.,371,95.7,0.0,95.1,0.0,43.67016508,-79.3725055
544,Rosedale Heights School of The Arts,1045,80.9,8.2,89.6,8.2,43.67393966,-79.36601634
545,Rosedale Jr P.S.,151,98.7,0.0,98.7,0.0,43.67765573,-79.38168603
546,Roselands Jr P.S.,200,95.5,2.5,94.0,2.5,43.68122679,-79.499061
547,Rosethorn Jr School,258,94.6,5.0,93.8,5.0,43.65992057,-79.53948098
548,Rouge Valley P.S.,163,95.1,0.6,98.2,0.6,43.79938626,-79.15128739
549,Roywood P.S.,104,92.3,2.9,91.3,2.9,43.76472407,-79.32177318
550,Runnymede C.I.,522,85.4,1.7,96.7,1.7,43.66353227,-79.48981138
551,Runnymede Jr & Sr P.S.,707,95.5,1.1,97.9,1.3,43.655965,-79.477517
552,Ryerson Community School,309,81.9,1.9,85.1,1.9,43.65122054,-79.40263666
553,Sacred Heart C.S.,194,84.5,1.0,88.7,1.0,43.812184,-79.22014399999999
554,Samuel Hearne P.S.,372,87.9,0.5,90.3,0.5,43.69523843,-79.28367519
555,Santa Maria C.S.,161,90.1,0.0,91.3,0.0,43.68097329,-79.47768089
556,Satec at W A Porter C.I.,1181,88.0,0.3,96.4,0.3,43.71659346,-79.28726952
557,Scarborough Village P.S.,140,91.4,0.0,95.7,0.0,43.74411936,-79.22207179
558,School of Experiential Education,45,77.8,2.2,97.8,2.2,43.70163502,-79.54639098
559,School of Life Experience,28,92.9,0.0,96.4,0.0,43.67928073,-79.32277189
560,Second Street JMS,351,93.7,2.3,94.3,2.3,43.60366842,-79.49976626
561,Secord Elementary,327,93.0,2.4,93.9,2.4,43.6923789,-79.30183124
562,Seed Alternative,31,80.6,6.5,90.3,6.5,43.66207775,-79.34868633
563,Selwyn Elementary,163,95.7,3.1,96.3,3.1,43.70843965,-79.30632594
564,Senator O'Connor College,1321,85.5,1.3,94.7,1.3,43.75082727,-79.31736855
565,Seneca Hill P.S.,195,99.0,0.0,98.5,0.0,43.79087042,-79.35029699
566,Seneca School,56,91.1,3.6,94.6,3.6,43.65093395,-79.58254583
567,Seventh Street Jr School,118,94.9,3.4,95.8,3.4,43.59991069,-79.50463054
568,Shaughnessy P.S.,143,97.2,0.0,97.9,0.0,43.7703833,-79.35168206
569,Sheppard P.S.,99,98.0,1.0,94.9,1.0,43.74542436,-79.48826066
570,Shirley Street Jr P.S.,111,91.9,8.1,91.9,8.1,43.64852424,-79.43672217
571,Shoreham P.S.,146,90.4,1.4,91.1,1.4,43.76879954,-79.51738797
572,Silver Springs P.S.,250,96.4,0.0,96.0,0.0,43.80442951,-79.30237697
573,Silverthorn C.I.,834,82.0,2.4,95.2,2.4,43.63783591,-79.58038855
574,Silverthorn Community School,225,92.9,3.1,93.8,3.1,43.68724942,-79.46941511
575,Sir Adam Beck Jr School,244,94.3,4.1,94.7,4.1,43.60160187,-79.54816183
576,Sir Alexander Mackenzie Sr P.S.,396,89.9,1.3,97.5,1.3,43.70106136,-79.3710115
577,Sir Ernest Macmillan Sr P.S.,370,89.5,1.4,96.8,1.4,43.80687627,-79.3281933
578,Sir John A Macdonald C.I.,1094,85.7,1.5,95.4,1.3,43.78707736,-79.32367051
579,Sir Oliver Mowat C.I.,1048,86.5,2.0,97.1,2.0,43.77930193,-79.14223832
580,Sir Samuel B Steele Jr P.S.,234,97.0,0.9,97.0,0.9,43.80665071,-79.32744196
581,Sir Wilfrid Laurier C.I.,1319,87.2,1.1,97.3,1.1,43.7470335,-79.19699148
582,Sir William Osler H.S.,110,87.3,0.9,93.6,0.9,43.79756649,-79.28740133
583,Sloane P.S.,144,95.8,0.0,96.5,0.0,43.73121223,-79.31033966
584,Smithfield Middle School,631,93.5,0.3,98.1,0.3,43.75001113,-79.59575188
585,South East Year Round Alternative,27,92.6,0.0,100.0,0.0,43.72810107,-79.25668865
586,Spectrum Alternative Sr,60,88.3,8.3,91.7,8.3,43.69927642,-79.39489644
587,Sprucecourt Jr P.S.,194,92.8,1.0,96.9,1.0,43.66448601,-79.36382992
588,St Agatha C.S.,282,89.0,1.1,91.5,1.1,43.7236402,-79.22982087
589,St Agnes C.S.,241,81.3,2.1,81.3,2.1,43.79857548,-79.40260425
590,St Aidan C.S.,220,88.6,0.5,91.8,0.5,43.79737949,-79.30936652
591,St Albert C.S.,317,89.3,0.9,91.5,0.9,43.74360886,-79.26136635
592,St Alphonsus C.S.,165,84.2,1.2,86.7,1.2,43.68291369,-79.43220644
593,St Ambrose C.S.,258,85.7,3.9,88.4,3.9,43.6083701,-79.55012287
594,St Andre C.S.,419,86.2,0.0,88.1,0.0,43.72399451,-79.51763291
595,St Andrew C.S.,550,79.3,0.2,86.4,0.2,43.74493114,-79.58238178
596,St Andrews Middle School,393,93.1,2.3,94.9,2.3,43.75159735,-79.39032976
597,St Andrews P.S.,222,96.4,0.0,98.2,0.0,43.76664525,-79.25479628
598,St Angela C.S.,397,77.6,0.5,81.1,0.5,43.75338681,-79.59579099
599,St Anselm C.S.,269,89.2,2.6,91.1,2.6,43.70539439,-79.37159516
600,St Anthony C.S.,242,81.8,2.5,86.0,2.5,43.66370352,-79.43496884
601,St Antoine Daniel C.S.,297,81.5,0.3,82.8,0.3,43.77701083,-79.42984477
602,St Augustine C.S.,422,82.2,0.2,84.6,0.2,43.76823652,-79.52506429
603,St Barbara C.S.,265,84.9,1.1,84.5,1.1,43.76231218,-79.21875843
604,St Barnabas C.S.,207,94.2,1.4,93.2,1.4,43.79724122,-79.22851192
605,St Bartholomew C.S.,67,86.6,4.5,86.6,4.5,43.78960341,-79.27161837
606,St Bede C.S.,117,84.6,0.9,90.6,0.9,43.81797891,-79.2065477
607,St Benedict C.S.,436,86.5,0.9,89.4,0.7,43.72069467,-79.57201689
608,St Bernard C.S.,478,86.6,1.0,88.7,1.0,43.70250622,-79.50060787
609,St Bonaventure C.S.,435,90.8,1.1,93.1,1.1,43.73303235,-79.35625364
610,St Boniface C.S.,259,86.1,0.0,86.5,0.0,43.74092025,-79.21997302
611,St Brendan C.S.,409,90.2,0.5,94.4,0.5,43.78254695,-79.14925055
612,St Brigid C.S.,425,84.0,1.9,88.0,1.9,43.68694895,-79.31689929
613,St Bruno / St Raymond C.S.,158,80.4,5.7,84.8,5.1,43.67323995,-79.42706293
614,St Catherine C.S.,78,80.8,3.8,87.2,3.8,43.74233527,-79.32473908
615,St Cecilia C.S.,463,92.0,2.2,94.2,2.2,43.66142319,-79.47283128
616,St Charles C.S.,193,91.2,1.0,91.2,1.0,43.71328189,-79.45135069
617,St Charles Garnier C.S.,314,85.4,0.6,86.6,0.6,43.76259569,-79.51814172
618,St Clare C.S.,300,87.3,1.3,89.7,1.3,43.67941147,-79.44155159
619,St Clement C.S.,329,90.9,2.1,93.3,2.1,43.63224729,-79.57380819
620,St Columba C.S.,169,81.1,3.6,82.2,3.6,43.80619345,-79.21182741
621,St Conrad C.S.,426,89.9,0.7,90.6,0.7,43.73008526,-79.49345429
622,St Cyril C.S.,217,92.2,0.9,93.5,0.9,43.77705227,-79.41670118
623,St Demetrius C.S.,193,83.9,6.2,87.6,6.2,43.68465421,-79.52196594
624,St Denis C.S.,215,89.3,3.3,90.7,3.3,43.67299835,-79.28990762
625,St Dominic Savio C.S.,193,90.2,1.0,89.6,1.0,43.79828437,-79.15602387
626,St Dorothy C.S.,239,87.9,0.8,90.0,0.8,43.731492700000004,-79.59173973
627,St Dunstan C.S.,185,81.1,1.1,82.7,1.1,43.693429200000004,-79.2842392
628,St Edmund Campion C.S.,185,91.9,0.0,90.8,0.0,43.78803168,-79.21609072
629,St Edward C.S.,336,90.8,1.5,90.8,1.5,43.75395182,-79.41340608
630,St Elizabeth C.S.,167,79.6,2.4,86.2,2.4,43.6349427,-79.55745671
631,St Elizabeth Seton C.S.,116,89.7,1.7,94.0,1.7,43.78895124,-79.24670583
632,St Eugene C.S.,263,87.5,2.7,89.7,2.7,43.69260281,-79.53749174
633,St Fidelis C.S.,438,88.4,3.0,89.7,3.0,43.71728752,-79.48494849
634,St Florence C.S.,141,82.3,1.4,87.9,1.4,43.79691679,-79.20936572
635,St Francis De Sales C.S.,334,86.8,0.3,87.7,0.3,43.75413291,-79.51912451
636,St Francis of Assisi C.S.,123,87.8,4.1,93.5,4.1,43.65619987,-79.41462812
637,St Francis Xavier C.S.,372,85.2,0.5,87.6,0.5,43.71084951,-79.48340706
638,St Gabriel C.S.,227,76.7,1.3,78.0,1.3,43.769357899999996,-79.39134138
639,St Gabriel Lalemant C.S.,105,90.5,0.0,95.2,0.0,43.81270363,-79.22672748
640,St George's Jr,113,93.8,1.8,94.7,1.8,43.67260051,-79.54171219
641,St Gerald C.S.,212,83.0,0.9,83.0,0.9,43.78071327,-79.32637982
642,St Gregory C.S.,530,90.4,3.0,89.6,3.0,43.65963894,-79.54502121
643,St Helen C.S.,289,90.3,1.0,93.1,1.0,43.65208457,-79.43615633
644,St Henry C.S.,179,88.3,0.6,89.9,0.6,43.81364309,-79.32831621
645,St Ignatius of Loyola C.S.,91,87.9,5.5,89.0,5.5,43.80357849,-79.26541329
646,St Isaac Jogues C.S.,259,84.2,0.8,85.3,0.8,43.76232534,-79.32196017
647,St James C.S.,131,86.3,0.8,87.8,0.8,43.66467369,-79.49539788
648,St Jane Frances C.S.,517,87.8,0.4,89.7,0.4,43.74214816,-79.51316565
649,St Jean De Brebeuf C.S.,159,93.1,0.6,92.5,0.6,43.80251384,-79.17404098
650,St Jerome C.S.,372,84.4,0.3,88.7,0.3,43.7488344,-79.48854188
651,St Joachim C.S.,217,91.7,0.0,92.6,0.0,43.71282528,-79.27514407
652,St John Bosco C.S.,238,90.3,0.0,90.3,0.0,43.68871579,-79.45055774
653,St John C.S.,336,89.9,0.9,93.5,0.9,43.68022438,-79.29456867
654,St John The Evangelist C.S.,306,85.6,0.0,87.6,0.0,43.71886369,-79.51022704
655,St John Vianney C.S.,282,86.9,2.5,86.2,2.5,43.73797591,-79.55384621
656,St Josaphat C.S.,108,77.8,7.4,76.9,7.4,43.59929856,-79.50905953
657,St Joseph C.S.,151,94.0,0.7,93.4,0.7,43.66580807,-79.33189055
658,St Joseph's College,758,85.0,0.9,92.5,0.9,43.66443686,-79.38886466
659,St Josephs Morrow Park H.S.,459,81.3,0.4,88.5,0.4,43.79713693,-79.39208061
660,St Jude C.S.,542,86.5,0.0,91.0,0.0,43.74048448,-79.53925654
661,St Kevin C.S.,180,88.3,1.1,90.6,1.1,43.75070676,-79.30585727
662,St Lawrence C.S.,329,90.9,0.6,92.1,0.6,43.74930639,-79.27992084
663,St Leo C.S.,200,84.0,2.0,86.5,2.0,43.61427999,-79.49628845
664,St Louis C.S.,145,90.3,3.4,91.0,3.4,43.62574512,-79.50095538
665,St Luigi C.S.,99,84.8,0.0,84.8,0.0,43.66283136,-79.45241969
666,St Malachy C.S.,214,86.9,0.9,90.7,0.9,43.77102043,-79.16663443
667,St Marcellus C.S.,286,81.1,1.7,82.9,1.7,43.67979194,-79.55422495
668,St Margaret C.S.,474,87.8,0.4,85.0,0.4,43.72897291,-79.44135545
669,St Margaret's P.S.,199,89.4,2.0,93.5,2.0,43.76826718,-79.19594342
670,St Marguerite Bourgeoys C.S.,69,88.4,0.0,91.3,0.0,43.80910932,-79.28561349
671,St Maria Goretti C.S.,717,89.7,0.3,90.8,0.3,43.72983532,-79.26592211
672,St Mark C.S.,144,83.3,4.9,84.7,4.9,43.63449985,-79.49019751
673,St Martha C.S.,162,84.6,3.7,87.0,3.7,43.741068,-79.50232466
674,St Martin De Porres C.S.,302,82.8,0.0,87.4,0.0,43.76712859,-79.18682181
675,St Mary C.S.,219,87.7,1.4,90.0,1.4,43.64584381,-79.40463497
676,St Mary of The Angels C.S.,167,93.4,0.0,93.4,0.0,43.67211886,-79.44029271
677,St Mary's Catholic S.S.,650,76.9,0.8,87.8,0.8,43.6577936,-79.43215429
678,St Matthew C.S.,378,93.1,0.5,94.7,0.5,43.68067023,-79.46794288
679,St Matthias C.S.,202,81.2,2.0,83.2,2.0,43.78489022,-79.35945563
680,St Maurice C.S.,204,85.8,0.5,87.7,0.5,43.69781276,-79.55393287
681,St Michael C.S.,129,82.9,1.6,90.7,1.6,43.64786941,-79.36961971
682,St Michael's Choir Jr School,169,92.9,3.0,94.1,3.0,43.65544574,-79.37768726
683,St Michael's Choir Sr School,88,83.0,2.3,95.5,2.3,43.65544574,-79.37768726
684,St Monica C.S.,223,84.8,0.9,90.1,0.9,43.71015928,-79.3976277
685,St Nicholas C.S.,273,89.0,1.1,90.1,1.1,43.74764379,-79.23285549
686,St Nicholas of Bari C.S.,454,91.9,0.7,92.1,0.7,43.68282437,-79.4604932
687,St Norbert C.S.,243,88.1,1.6,88.5,1.6,43.73410029,-79.46450004
688,St Oscar Romero Catholic S.S.,627,84.1,0.2,93.9,0.2,43.68033288,-79.48079681
689,St Paschal Baylon C.S.,522,84.7,0.4,82.6,0.4,43.79220069,-79.43132189
690,St Patrick Catholic S.S.,728,83.8,0.8,90.4,0.8,43.67845032,-79.32800364
691,St Paul C.S.,123,83.7,0.0,83.7,0.0,43.65548894,-79.36173419
692,St Pius X C.S.,373,89.5,1.9,90.9,1.9,43.65127722,-79.48471334
693,St Raphael C.S.,367,86.1,1.1,89.4,1.1,43.72856134,-79.48848695
694,St Rene Goupil C.S.,95,57.9,0.0,57.9,0.0,43.81934836,-79.28830312
695,St Richard C.S.,302,89.1,0.7,92.4,0.7,43.76837294,-79.24028339
696,St Rita C.S.,66,83.3,1.5,90.9,1.5,43.66613477,-79.45644834
697,St Robert C.S.,441,89.6,0.5,87.5,0.5,43.74909669,-79.44772492
698,St Roch C.S.,253,88.9,0.0,92.9,0.0,43.75370797,-79.56674972
699,St Rose of Lima C.S.,325,89.5,0.3,88.6,0.3,43.75748239,-79.24055992
700,St Sebastian C.S.,152,92.8,3.3,94.1,3.3,43.66276615,-79.43992647
701,St Simon C.S.,384,88.5,0.5,90.4,0.5,43.71890861,-79.53298735
702,St Stephen C.S.,294,88.8,0.3,88.1,0.3,43.7222273,-79.55211379
703,St Sylvester C.S.,130,88.5,2.3,90.0,2.3,43.80442951,-79.30237697
704,St Teresa C.S.,182,81.9,1.1,87.4,1.1,43.59929856,-79.50905953
705,St Theresa Shrine C.S.,157,94.3,0.0,94.9,0.0,43.71563786,-79.24247559
706,St Thomas Aquinas C.S.,401,84.8,0.0,88.8,0.0,43.69588971,-79.44574378
707,St Thomas More C.S.,235,86.4,0.4,88.9,0.4,43.77870333,-79.22545490000002
708,St Timothy C.S.,456,88.8,1.1,88.8,1.1,43.77515317,-79.35136251
709,St Ursula C.S.,184,92.9,0.5,93.5,0.5,43.75082107,-79.19998668
710,St Victor C.S.,235,89.8,0.4,93.2,0.4,43.76905716,-79.25910537
711,St Vincent de Paul C.S.,244,89.8,2.9,89.8,2.9,43.64682927,-79.44792302
